epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.50092,1.76601,3.82045,1.73324,0.27242,0.14979,0.14474,0.06615,1.71786,3.77249,1.89699,7.145e-05,7.145e-05,7.145e-05
2,11.5129,1.37474,2.18274,1.36513,0.47408,0.7,0.65657,0.45486,1.1854,4.43142,1.31433,0.000154596,0.000154596,0.000154596
3,14.7156,1.20691,1.24665,1.20773,0.8972,0.96526,0.94322,0.62856,1.18981,1.75418,1.31918,0.000234913,0.000234913,0.000234913
4,17.7601,1.19947,0.99836,1.23019,0.95979,0.92454,0.92372,0.61639,1.24522,1.42801,1.32862,0.000312401,0.000312401,0.000312401
5,20.6098,1.09139,0.86162,1.16048,0.95746,0.92789,0.97103,0.65977,1.15539,1.29012,1.27457,0.000387059,0.000387059,0.000387059
6,24.1309,1.10606,0.77799,1.17991,0.89578,0.959,0.94873,0.67404,1.18571,1.47308,1.34092,0.000458888,0.000458888,0.000458888
7,26.807,1.18156,0.74896,1.30405,0.89247,0.78707,0.89988,0.57272,1.35156,1.68742,1.44922,0.000527887,0.000527887,0.000527887
8,29.4793,1.19267,0.74981,1.25337,0.74246,0.89882,0.87196,0.5262,1.49061,1.32602,1.56786,0.000594057,0.000594057,0.000594057
9,32.0477,1.13152,0.66024,1.21737,0.83275,0.82381,0.90591,0.60772,1.16586,1.07,1.32227,0.000657397,0.000657397,0.000657397
10,35.2164,1.10366,0.64121,1.20636,0.85842,0.9173,0.90686,0.53931,1.30592,0.90713,1.44194,0.000717908,0.000717908,0.000717908
11,38.263,1.10499,0.6577,1.18265,0.87048,0.76667,0.84281,0.54885,1.30749,1.07015,1.45342,0.00077559,0.00077559,0.00077559
12,40.7293,1.05765,0.60373,1.12976,0.93055,0.73333,0.83071,0.53069,1.41744,1.08969,1.57661,0.000830442,0.000830442,0.000830442
13,43.3784,1.08182,0.63983,1.20861,0.95787,0.674,0.84795,0.55727,1.28958,1.01343,1.4661,0.000882465,0.000882465,0.000882465
14,45.8643,1.04538,0.58733,1.17382,0.82023,0.61203,0.78941,0.47901,1.47877,1.29096,1.6229,0.000931658,0.000931658,0.000931658
15,49.2834,1.03579,0.54953,1.17752,0.7002,0.54551,0.64086,0.37175,1.55091,1.57949,1.65633,0.000978022,0.000978022,0.000978022
16,51.9013,1.09219,0.60801,1.19531,0.77512,0.38656,0.40708,0.2039,2.25906,2.06677,2.06215,0.00102156,0.00102156,0.00102156
17,54.3537,1.01405,0.52838,1.12351,0.9208,0.28886,0.36203,0.18131,2.25471,2.15594,2.05489,0.00105174,0.00105174,0.00105174
18,56.9354,1.05983,0.61948,1.169,0.95131,0.43333,0.58778,0.36463,1.74951,1.19416,1.74616,0.00102817,0.00102817,0.00102817
19,59.4508,0.9998,0.53808,1.14652,0.68803,0.59176,0.56846,0.32951,1.6487,1.40457,1.68144,0.00100459,0.00100459,0.00100459
20,63.0236,1.01131,0.55569,1.16672,0.8941,0.86248,0.89834,0.59897,1.30212,0.74755,1.43105,0.000981008,0.000981008,0.000981008
21,65.5128,0.9836,0.54136,1.10565,0.86815,0.57972,0.7181,0.45193,1.46278,1.14596,1.60383,0.00095743,0.00095743,0.00095743
22,67.9502,1.01509,0.54962,1.16125,0.93717,0.77767,0.94084,0.63971,1.26118,0.72225,1.41576,0.000933851,0.000933851,0.000933851
23,70.4022,1.01566,0.56125,1.13935,0.92097,0.92413,0.97962,0.66597,1.25015,0.63978,1.44919,0.000910273,0.000910273,0.000910273
24,73.148,0.96819,0.48568,1.11636,0.9127,0.91781,0.96103,0.64988,1.23132,0.63882,1.4348,0.000886694,0.000886694,0.000886694
25,76.4351,0.92404,0.49352,1.10858,0.91763,0.96987,0.98397,0.67826,1.20592,0.59056,1.38057,0.000863116,0.000863116,0.000863116
26,79.0747,0.93238,0.49296,1.129,0.93856,0.92643,0.98005,0.61207,1.36482,0.60657,1.54137,0.000839537,0.000839537,0.000839537
27,81.603,0.93143,0.50022,1.11309,0.95014,0.97751,0.99197,0.61932,1.35766,0.61111,1.53672,0.000815959,0.000815959,0.000815959
28,84.1948,0.89956,0.4688,1.10283,0.94926,0.98823,0.98894,0.63635,1.27929,0.54136,1.44016,0.00079238,0.00079238,0.00079238
29,87.0935,0.86482,0.4597,1.0702,0.95719,0.93333,0.98056,0.63782,1.2134,0.55678,1.39933,0.000768802,0.000768802,0.000768802
30,90.2915,0.91226,0.5097,1.09171,0.94235,0.90679,0.98175,0.65652,1.25412,0.57473,1.41652,0.000745223,0.000745223,0.000745223
31,92.7771,0.89974,0.48152,1.06926,0.87021,0.97844,0.98005,0.663,1.19997,0.55632,1.38047,0.000721645,0.000721645,0.000721645
32,95.3588,0.89572,0.4542,1.07209,0.98244,0.89686,0.97833,0.63999,1.24236,0.55403,1.40013,0.000698066,0.000698066,0.000698066
33,98.0745,0.86592,0.4712,1.064,0.95247,0.95787,0.98944,0.6463,1.24158,0.54966,1.40591,0.000674488,0.000674488,0.000674488
34,101.518,0.86353,0.4652,1.06431,0.97594,0.92743,0.98641,0.65032,1.26161,0.56356,1.4542,0.000650909,0.000650909,0.000650909
35,104.447,0.81786,0.41388,1.02336,0.97787,0.93072,0.98894,0.63876,1.27713,0.57696,1.45268,0.000627331,0.000627331,0.000627331
36,106.944,0.81028,0.43221,1.04398,0.99048,0.95961,0.99197,0.63774,1.29828,0.53778,1.46173,0.000603752,0.000603752,0.000603752
37,109.65,0.83812,0.45543,1.06497,0.99092,0.96098,0.99197,0.67458,1.19473,0.49625,1.36435,0.000580174,0.000580174,0.000580174
38,112.146,0.80364,0.41585,1.0114,0.98856,0.96605,0.98944,0.70532,1.17944,0.48258,1.35814,0.000556595,0.000556595,0.000556595
39,115.643,0.84778,0.42926,1.06583,0.9531,1,0.995,0.69594,1.12857,0.47525,1.33073,0.000533017,0.000533017,0.000533017
40,118.312,0.78573,0.41382,1.01126,0.9859,0.98734,0.995,0.67317,1.16466,0.48115,1.37034,0.000509438,0.000509438,0.000509438
