epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9425,1.41569,3.83929,1.52831,0.59872,0.22735,0.31806,0.20811,0.99631,3.16645,1.16284,8.574e-05,8.574e-05,8.574e-05
2,15.2996,1.05363,2.02098,1.24832,0.72036,0.85983,0.81794,0.60312,0.94705,1.76872,1.04342,0.000182705,0.000182705,0.000182705
3,19.3199,1.0173,1.14701,1.1605,0.73857,0.85493,0.82871,0.64086,0.93342,1.21524,1.06322,0.000276369,0.000276369,0.000276369
4,24.1589,0.90574,0.90671,1.06786,0.90284,0.79822,0.91183,0.68322,1.01019,1.05471,1.1177,0.000366731,0.000366731,0.000366731
5,27.8411,0.93866,0.91626,1.1144,0.9615,0.82301,0.92967,0.70221,1.0303,0.96765,1.14512,0.000453793,0.000453793,0.000453793
6,30.9694,0.93599,0.81087,1.11935,0.85457,0.74936,0.90243,0.65029,1.10224,1.26711,1.22216,0.000537554,0.000537554,0.000537554
7,34.9807,0.98162,0.82019,1.13163,0.87968,0.75348,0.85074,0.63017,0.97731,1.23236,1.2185,0.000618014,0.000618014,0.000618014
8,38.253,0.92843,0.74109,1.10552,0.82918,0.89552,0.88863,0.68112,0.96385,0.91663,1.24226,0.000695173,0.000695173,0.000695173
9,41.5596,0.91746,0.76529,1.08142,0.82474,0.84702,0.84359,0.6926,0.86643,1.4183,1.12204,0.000769031,0.000769031,0.000769031
10,44.5686,0.92397,0.7286,1.12565,0.76706,0.8534,0.80906,0.63654,1.07654,1.19435,1.26525,0.000839588,0.000839588,0.000839588
11,48.5392,0.91039,0.6692,1.086,0.88062,0.85426,0.88381,0.66549,0.98087,1.18702,1.18006,0.000906843,0.000906843,0.000906843
12,51.6093,0.90087,0.65257,1.11172,0.75382,0.77982,0.77034,0.55195,1.0617,1.27056,1.31787,0.000970798,0.000970798,0.000970798
13,54.716,0.90284,0.63321,1.11208,0.76794,0.78291,0.72684,0.53527,1.08251,1.44265,1.29329,0.00103145,0.00103145,0.00103145
14,57.7903,0.90736,0.65466,1.08718,0.88029,0.67346,0.81842,0.58738,1.1086,1.37311,1.25606,0.00108881,0.00108881,0.00108881
15,61.7283,0.8756,0.62276,1.07914,0.68577,0.67897,0.68742,0.5261,1.06172,1.73928,1.17745,0.0010989,0.0010989,0.0010989
16,64.741,0.86982,0.62196,1.0538,0.77147,0.69744,0.72488,0.52325,1.01406,1.82373,1.20087,0.00107532,0.00107532,0.00107532
17,67.6738,0.8973,0.6282,1.07342,0.54475,0.70928,0.66017,0.47815,1.01955,1.73701,1.1995,0.00105174,0.00105174,0.00105174
18,70.6801,0.92201,0.67517,1.08284,0.66979,0.63476,0.70558,0.44602,1.27841,1.37711,1.35185,0.00102817,0.00102817,0.00102817
19,74.5944,0.86662,0.63074,1.08518,0.8664,0.81655,0.89782,0.63701,1.05913,0.871,1.20982,0.00100459,0.00100459,0.00100459
